Date,Department,Dept_Date_Key,Total_Beds,Occupied_Beds,Occupancy_Rate
2024-01-01,Emergency,Emergency_2024-01-01,60,45,0.75
2024-01-02,Emergency,Emergency_2024-01-02,60,43,0.717
2024-01-03,Emergency,Emergency_2024-01-03,60,43,0.717
2024-01-04,Emergency,Emergency_2024-01-04,60,44,0.733
2024-01-05,Emergency,Emergency_2024-01-05,60,46,0.767
2024-01-06,Emergency,Emergency_2024-01-06,60,47,0.783
2024-01-07,Emergency,Emergency_2024-01-07,60,49,0.817
2024-01-08,Emergency,Emergency_2024-01-08,60,49,0.817
2024-01-09,Emergency,Emergency_2024-01-09,60,47,0.783
2024-01-10,Emergency,Emergency_2024-01-10,60,49,0.817
2024-01-11,Emergency,Emergency_2024-01-11,60,49,0.817
2024-01-12,Emergency,Emergency_2024-01-12,60,48,0.8
2024-01-13,Emergency,Emergency_2024-01-13,60,50,0.833
2024-01-14,Emergency,Emergency_2024-01-14,60,48,0.8
2024-01-15,Emergency,Emergency_2024-01-15,60,45,0.75
2024-01-16,Emergency,Emergency_2024-01-16,60,44,0.733
2024-01-17,Emergency,Emergency_2024-01-17,60,51,0.85
2024-01-18,Emergency,Emergency_2024-01-18,60,40,0.667
2024-01-19,Emergency,Emergency_2024-01-19,60,47,0.783
2024-01-20,Emergency,Emergency_2024-01-20,60,45,0.75
2024-01-21,Emergency,Emergency_2024-01-21,60,48,0.8
2024-01-22,Emergency,Emergency_2024-01-22,60,48,0.8
2024-01-23,Emergency,Emergency_2024-01-23,60,46,0.767
2024-01-24,Emergency,Emergency_2024-01-24,60,49,0.817
2024-01-25,Emergency,Emergency_2024-01-25,60,50,0.833
2024-01-26,Emergency,Emergency_2024-01-26,60,45,0.75
2024-01-27,Emergency,Emergency_2024-01-27,60,42,0.7
2024-01-28,Emergency,Emergency_2024-01-28,60,48,0.8
2024-01-29,Emergency,Emergency_2024-01-29,60,49,0.817
2024-01-30,Emergency,Emergency_2024-01-30,60,49,0.817
2024-01-31,Emergency,Emergency_2024-01-31,60,45,0.75
2024-02-01,Emergency,Emergency_2024-02-01,60,41,0.683
2024-02-02,Emergency,Emergency_2024-02-02,60,45,0.75
2024-02-03,Emergency,Emergency_2024-02-03,60,46,0.767
2024-02-04,Emergency,Emergency_2024-02-04,60,47,0.783
2024-02-05,Emergency,Emergency_2024-02-05,60,47,0.783
2024-02-06,Emergency,Emergency_2024-02-06,60,43,0.717
2024-02-07,Emergency,Emergency_2024-02-07,60,51,0.85
2024-02-08,Emergency,Emergency_2024-02-08,60,50,0.833
2024-02-09,Emergency,Emergency_2024-02-09,60,51,0.85
2024-02-10,Emergency,Emergency_2024-02-10,60,46,0.767
2024-02-11,Emergency,Emergency_2024-02-11,60,48,0.8
2024-02-12,Emergency,Emergency_2024-02-12,60,47,0.783
2024-02-13,Emergency,Emergency_2024-02-13,60,46,0.767
2024-02-14,Emergency,Emergency_2024-02-14,60,48,0.8
2024-02-15,Emergency,Emergency_2024-02-15,60,48,0.8
2024-02-16,Emergency,Emergency_2024-02-16,60,47,0.783
2024-02-17,Emergency,Emergency_2024-02-17,60,45,0.75
2024-02-18,Emergency,Emergency_2024-02-18,60,45,0.75
2024-02-19,Emergency,Emergency_2024-02-19,60,48,0.8
2024-02-20,Emergency,Emergency_2024-02-20,60,51,0.85
2024-02-21,Emergency,Emergency_2024-02-21,60,42,0.7
