Date,Department,Dept_Date_Key,Nurses_On_Shift,Patients_Assigned,Patient_To_Nurse_Ratio
2024-01-01,Emergency,Emergency_2024-01-01,11,45,4.09
2024-01-02,Emergency,Emergency_2024-01-02,11,43,3.91
2024-01-03,Emergency,Emergency_2024-01-03,11,43,3.91
2024-01-04,Emergency,Emergency_2024-01-04,11,44,4.0
2024-01-05,Emergency,Emergency_2024-01-05,12,46,3.83
2024-01-06,Emergency,Emergency_2024-01-06,12,47,3.92
2024-01-07,Emergency,Emergency_2024-01-07,12,49,4.08
2024-01-08,Emergency,Emergency_2024-01-08,12,49,4.08
2024-01-09,Emergency,Emergency_2024-01-09,12,47,3.92
2024-01-10,Emergency,Emergency_2024-01-10,12,49,4.08
2024-01-11,Emergency,Emergency_2024-01-11,12,49,4.08
2024-01-12,Emergency,Emergency_2024-01-12,12,48,4.0
2024-01-13,Emergency,Emergency_2024-01-13,12,50,4.17
2024-01-14,Emergency,Emergency_2024-01-14,12,48,4.0
2024-01-15,Emergency,Emergency_2024-01-15,11,45,4.09
2024-01-16,Emergency,Emergency_2024-01-16,11,44,4.0
2024-01-17,Emergency,Emergency_2024-01-17,13,51,3.92
2024-01-18,Emergency,Emergency_2024-01-18,10,40,4.0
2024-01-19,Emergency,Emergency_2024-01-19,12,47,3.92
2024-01-20,Emergency,Emergency_2024-01-20,11,45,4.09
2024-01-21,Emergency,Emergency_2024-01-21,12,48,4.0
2024-01-22,Emergency,Emergency_2024-01-22,12,48,4.0
2024-01-23,Emergency,Emergency_2024-01-23,12,46,3.83
2024-01-24,Emergency,Emergency_2024-01-24,12,49,4.08
2024-01-25,Emergency,Emergency_2024-01-25,12,50,4.17
2024-01-26,Emergency,Emergency_2024-01-26,11,45,4.09
2024-01-27,Emergency,Emergency_2024-01-27,10,42,4.2
2024-01-28,Emergency,Emergency_2024-01-28,12,48,4.0
2024-01-29,Emergency,Emergency_2024-01-29,12,49,4.08
2024-01-30,Emergency,Emergency_2024-01-30,12,49,4.08
2024-01-31,Emergency,Emergency_2024-01-31,11,45,4.09
2024-02-01,Emergency,Emergency_2024-02-01,10,41,4.1
2024-02-02,Emergency,Emergency_2024-02-02,11,45,4.09
2024-02-03,Emergency,Emergency_2024-02-03,12,46,3.83
2024-02-04,Emergency,Emergency_2024-02-04,12,47,3.92
2024-02-05,Emergency,Emergency_2024-02-05,12,47,3.92
2024-02-06,Emergency,Emergency_2024-02-06,11,43,3.91
2024-02-07,Emergency,Emergency_2024-02-07,13,51,3.92
2024-02-08,Emergency,Emergency_2024-02-08,12,50,4.17
2024-02-09,Emergency,Emergency_2024-02-09,13,51,3.92
2024-02-10,Emergency,Emergency_2024-02-10,12,46,3.83
2024-02-11,Emergency,Emergency_2024-02-11,12,48,4.0
2024-02-12,Emergency,Emergency_2024-02-12,12,47,3.92
2024-02-13,Emergency,Emergency_2024-02-13,12,46,3.83
2024-02-14,Emergency,Emergency_2024-02-14,12,48,4.0
2024-02-15,Emergency,Emergency_2024-02-15,12,48,4.0
2024-02-16,Emergency,Emergency_2024-02-16,12,47,3.92
2024-02-17,Emergency,Emergency_2024-02-17,11,45,4.09
2024-02-18,Emergency,Emergency_2024-02-18,11,45,4.09
2024-02-19,Emergency,Emergency_2024-02-19,12,48,4.0
2024-02-20,Emergency,Emergency_2024-02-20,13,51,3.92
2024-02-21,Emergency,Emergency_2024-02-21,10,42,4.2
2024-02-22,Emergency,Emergency_2024-02-22,11,43,3.91
2024-02-23,Emergency,Emergency_2024-02-23,14,56,4.0
2024-02-24,Emergency,Emergency_2024-02-24,12,48,4.0
2024-02-25,Emergency,Emergency_2024-02-25,11,45,4.09
2024-02-26,Emergency,Emergency_2024-02-26,12,49,4.08
2024-02-27,Emergency,Emergency_2024-02-27,12,48,4.0
2024-02-28,Emergency,Emergency_2024-02-28,12,47,3.92
2024-02-29,Emergency,Emergency_2024-02-29,12,49,4.08
2024-03-01,Emergency,Emergency_2024-03-01,12,47,3.92
2024-03-02,Emergency,Emergency_2024-03-02,12,48,4.0
2024-03-03,Emergency,Emergency_2024-03-03,12,46,3.83
2024-03-04,Emergency,Emergency_2024-03-04,11,45,4.09
2024-03-05,Emergency,Emergency_2024-03-05,12,48,4.0
2024-03-06,Emergency,Emergency_2024-03-06,12,48,4.0
2024-03-07,Emergency,Emergency_2024-03-07,12,48,4.0
2024-03-08,Emergency,Emergency_2024-03-08,12,49,4.08
2024-03-09,Emergency,Emergency_2024-03-09,12,46,3.83
2024-03-10,Emergency,Emergency_2024-03-10,12,47,3.92
2024-03-11,Emergency,Emergency_2024-03-11,12,49,4.08
2024-03-12,Emergency,Emergency_2024-03-12,12,49,4.08
2024-03-13,Emergency,Emergency_2024-03-13,12,50,4.17
2024-03-14,Emergency,Emergency_2024-03-14,11,44,4.0
2024-03-15,Emergency,Emergency_2024-03-15,12,47,3.92
2024-03-16,Emergency,Emergency_2024-03-16,13,52,4.0
2024-03-17,Emergency,Emergency_2024-03-17,13,52,4.0
2024-03-18,Emergency,Emergency_2024-03-18,12,47,3.92
2024-03-19,Emergency,Emergency_2024-03-19,12,48,4.0
2024-03-20,Emergency,Emergency_2024-03-20,11,43,3.91
2024-03-21,Emergency,Emergency_2024-03-21,12,47,3.92
2024-03-22,Emergency,Emergency_2024-03-22,12,47,3.92
2024-03-23,Emergency,Emergency_2024-03-23,11,44,4.0
2024-03-24,Emergency,Emergency_2024-03-24,12,50,4.17
2024-03-25,Emergency,Emergency_2024-03-25,11,45,4.09
2024-03-26,Emergency,Emergency_2024-03-26,12,48,4.0
2024-03-27,Emergency,Emergency_2024-03-27,11,44,4.0
2024-03-28,Emergency,Emergency_2024-03-28,13,51,3.92
2024-03-29,Emergency,Emergency_2024-03-29,12,47,3.92
2024-03-30,Emergency,Emergency_2024-03-30,11,45,4.09
2024-03-31,Emergency,Emergency_2024-03-31,12,46,3.83
2024-04-01,Emergency,Emergency_2024-04-01,14,55,3.93
2024-04-02,Emergency,Emergency_2024-04-02,12,50,4.17
2024-04-03,Emergency,Emergency_2024-04-03,11,44,4.0
2024-04-04,Emergency,Emergency_2024-04-04,11,45,4.09
2024-04-05,Emergency,Emergency_2024-04-05,12,48,4.0
2024-04-06,Emergency,Emergency_2024-04-06,12,46,3.83
2024-04-07,Emergency,Emergency_2024-04-07,11,44,4.0
2024-04-08,Emergency,Emergency_2024-04-08,12,48,4.0
2024-04-09,Emergency,Emergency_2024-04-09,11,43,3.91
2024-04-10,Emergency,Emergency_2024-04-10,11,44,4.0
2024-04-11,Emergency,Emergency_2024-04-11,10,41,4.1
2024-04-12,Emergency,Emergency_2024-04-12,11,44,4.0
2024-04-13,Emergency,Emergency_2024-04-13,11,44,4.0
2024-04-14,Emergency,Emergency_2024-04-14,12,49,4.08
2024-04-15,Emergency,Emergency_2024-04-15,11,44,4.0
2024-04-16,Emergency,Emergency_2024-04-16,12,49,4.08
2024-04-17,Emergency,Emergency_2024-04-17,12,46,3.83
2024-04-18,Emergency,Emergency_2024-04-18,10,41,4.1
2024-04-19,Emergency,Emergency_2024-04-19,12,46,3.83
2024-04-20,Emergency,Emergency_2024-04-20,12,49,4.08
2024-04-21,Emergency,Emergency_2024-04-21,12,49,4.08
2024-04-22,Emergency,Emergency_2024-04-22,10,41,4.1
2024-04-23,Emergency,Emergency_2024-04-23,11,45,4.09
2024-04-24,Emergency,Emergency_2024-04-24,12,47,3.92
2024-04-25,Emergency,Emergency_2024-04-25,12,48,4.0
2024-04-26,Emergency,Emergency_2024-04-26,13,52,4.0
2024-04-27,Emergency,Emergency_2024-04-27,12,49,4.08
2024-04-28,Emergency,Emergency_2024-04-28,12,47,3.92
2024-04-29,Emergency,Emergency_2024-04-29,12,50,4.17
2024-04-30,Emergency,Emergency_2024-04-30,12,47,3.92
2024-05-01,Emergency,Emergency_2024-05-01,12,48,4.0
2024-05-02,Emergency,Emergency_2024-05-02,12,47,3.92
2024-05-03,Emergency,Emergency_2024-05-03,11,45,4.09
2024-05-04,Emergency,Emergency_2024-05-04,12,47,3.92
2024-05-05,Emergency,Emergency_2024-05-05,12,48,4.0
2024-05-06,Emergency,Emergency_2024-05-06,12,49,4.08
2024-05-07,Emergency,Emergency_2024-05-07,12,50,4.17
2024-05-08,Emergency,Emergency_2024-05-08,12,46,3.83
2024-05-09,Emergency,Emergency_2024-05-09,12,48,4.0
2024-05-10,Emergency,Emergency_2024-05-10,12,49,4.08
2024-05-11,Emergency,Emergency_2024-05-11,12,49,4.08
2024-05-12,Emergency,Emergency_2024-05-12,11,45,4.09
2024-05-13,Emergency,Emergency_2024-05-13,12,46,3.83
2024-05-14,Emergency,Emergency_2024-05-14,12,47,3.92
2024-05-15,Emergency,Emergency_2024-05-15,12,46,3.83
2024-05-16,Emergency,Emergency_2024-05-16,10,42,4.2
2024-05-17,Emergency,Emergency_2024-05-17,11,44,4.0
2024-05-18,Emergency,Emergency_2024-05-18,12,49,4.08
2024-05-19,Emergency,Emergency_2024-05-19,11,44,4.0
2024-05-20,Emergency,Emergency_2024-05-20,11,43,3.91
2024-05-21,Emergency,Emergency_2024-05-21,12,47,3.92
2024-05-22,Emergency,Emergency_2024-05-22,12,46,3.83
2024-05-23,Emergency,Emergency_2024-05-23,13,51,3.92
2024-05-24,Emergency,Emergency_2024-05-24,12,48,4.0
2024-05-25,Emergency,Emergency_2024-05-25,12,46,3.83
2024-05-26,Emergency,Emergency_2024-05-26,12,48,4.0
2024-05-27,Emergency,Emergency_2024-05-27,11,45,4.09
2024-05-28,Emergency,Emergency_2024-05-28,14,54,3.86
2024-05-29,Emergency,Emergency_2024-05-29,12,46,3.83
2024-05-30,Emergency,Emergency_2024-05-30,10,42,4.2
2024-05-31,Emergency,Emergency_2024-05-31,12,47,3.92
2024-06-01,Emergency,Emergency_2024-06-01,11,44,4.0
2024-06-02,Emergency,Emergency_2024-06-02,12,46,3.83
2024-06-03,Emergency,Emergency_2024-06-03,11,45,4.09
2024-06-04,Emergency,Emergency_2024-06-04,12,48,4.0
2024-06-05,Emergency,Emergency_2024-06-05,12,46,3.83
2024-06-06,Emergency,Emergency_2024-06-06,13,51,3.92
2024-06-07,Emergency,Emergency_2024-06-07,12,49,4.08
2024-06-08,Emergency,Emergency_2024-06-08,11,44,4.0
2024-06-09,Emergency,Emergency_2024-06-09,11,45,4.09
2024-06-10,Emergency,Emergency_2024-06-10,11,43,3.91
2024-06-11,Emergency,Emergency_2024-06-11,11,45,4.09
2024-06-12,Emergency,Emergency_2024-06-12,12,46,3.83
2024-06-13,Emergency,Emergency_2024-06-13,13,51,3.92
2024-06-14,Emergency,Emergency_2024-06-14,12,48,4.0
2024-06-15,Emergency,Emergency_2024-06-15,12,48,4.0
2024-06-16,Emergency,Emergency_2024-06-16,11,45,4.09
2024-06-17,Emergency,Emergency_2024-06-17,13,51,3.92
2024-06-18,Emergency,Emergency_2024-06-18,12,48,4.0
2024-06-19,Emergency,Emergency_2024-06-19,12,47,3.92
2024-06-20,Emergency,Emergency_2024-06-20,11,44,4.0
2024-06-21,Emergency,Emergency_2024-06-21,12,48,4.0
2024-06-22,Emergency,Emergency_2024-06-22,11,45,4.09
2024-06-23,Emergency,Emergency_2024-06-23,13,52,4.0
2024-06-24,Emergency,Emergency_2024-06-24,12,48,4.0
2024-06-25,Emergency,Emergency_2024-06-25,11,45,4.09
2024-06-26,Emergency,Emergency_2024-06-26,11,43,3.91
2024-06-27,Emergency,Emergency_2024-06-27,11,44,4.0
2024-06-28,Emergency,Emergency_2024-06-28,12,50,4.17
2024-06-29,Emergency,Emergency_2024-06-29,11,44,4.0
2024-06-30,Emergency,Emergency_2024-06-30,11,43,3.91
2024-07-01,Emergency,Emergency_2024-07-01,12,49,4.08
2024-07-02,Emergency,Emergency_2024-07-02,12,48,4.0
2024-07-03,Emergency,Emergency_2024-07-03,12,47,3.92
2024-07-04,Emergency,Emergency_2024-07-04,13,52,4.0
2024-07-05,Emergency,Emergency_2024-07-05,11,45,4.09
2024-07-06,Emergency,Emergency_2024-07-06,12,49,4.08
2024-07-07,Emergency,Emergency_2024-07-07,11,45,4.09
2024-07-08,Emergency,Emergency_2024-07-08,11,45,4.09
2024-07-09,Emergency,Emergency_2024-07-09,12,48,4.0
2024-07-10,Emergency,Emergency_2024-07-10,12,49,4.08
2024-07-11,Emergency,Emergency_2024-07-11,13,51,3.92
2024-07-12,Emergency,Emergency_2024-07-12,12,48,4.0
2024-07-13,Emergency,Emergency_2024-07-13,14,54,3.86
2024-07-14,Emergency,Emergency_2024-07-14,12,48,4.0
2024-07-15,Emergency,Emergency_2024-07-15,12,46,3.83
2024-07-16,Emergency,Emergency_2024-07-16,11,45,4.09
2024-07-17,Emergency,Emergency_2024-07-17,12,46,3.83
2024-07-18,Emergency,Emergency_2024-07-18,11,45,4.09
2024-07-19,Emergency,Emergency_2024-07-19,12,46,3.83
2024-07-20,Emergency,Emergency_2024-07-20,13,52,4.0
2024-07-21,Emergency,Emergency_2024-07-21,13,52,4.0
2024-07-22,Emergency,Emergency_2024-07-22,11,43,3.91
2024-07-23,Emergency,Emergency_2024-07-23,10,42,4.2
2024-07-24,Emergency,Emergency_2024-07-24,11,45,4.09
2024-07-25,Emergency,Emergency_2024-07-25,12,48,4.0
2024-07-26,Emergency,Emergency_2024-07-26,11,45,4.09
2024-07-27,Emergency,Emergency_2024-07-27,11,44,4.0
2024-07-28,Emergency,Emergency_2024-07-28,11,45,4.09
2024-07-29,Emergency,Emergency_2024-07-29,11,45,4.09
2024-07-30,Emergency,Emergency_2024-07-30,12,49,4.08
2024-07-31,Emergency,Emergency_2024-07-31,12,47,3.92
2024-08-01,Emergency,Emergency_2024-08-01,12,50,4.17
2024-08-02,Emergency,Emergency_2024-08-02,12,46,3.83
2024-08-03,Emergency,Emergency_2024-08-03,11,44,4.0
2024-08-04,Emergency,Emergency_2024-08-04,12,49,4.08
2024-08-05,Emergency,Emergency_2024-08-05,13,51,3.92
2024-08-06,Emergency,Emergency_2024-08-06,11,45,4.09
2024-08-07,Emergency,Emergency_2024-08-07,12,50,4.17
2024-08-08,Emergency,Emergency_2024-08-08,13,51,3.92
2024-08-09,Emergency,Emergency_2024-08-09,12,46,3.83
2024-08-10,Emergency,Emergency_2024-08-10,13,51,3.92
2024-08-11,Emergency,Emergency_2024-08-11,12,47,3.92
2024-08-12,Emergency,Emergency_2024-08-12,12,47,3.92
2024-08-13,Emergency,Emergency_2024-08-13,12,47,3.92
2024-08-14,Emergency,Emergency_2024-08-14,12,47,3.92
2024-08-15,Emergency,Emergency_2024-08-15,12,48,4.0
2024-08-16,Emergency,Emergency_2024-08-16,12,46,3.83
2024-08-17,Emergency,Emergency_2024-08-17,11,45,4.09
2024-08-18,Emergency,Emergency_2024-08-18,11,44,4.0
2024-08-19,Emergency,Emergency_2024-08-19,12,48,4.0
2024-08-20,Emergency,Emergency_2024-08-20,12,46,3.83
2024-08-21,Emergency,Emergency_2024-08-21,12,48,4.0
2024-08-22,Emergency,Emergency_2024-08-22,12,46,3.83
2024-08-23,Emergency,Emergency_2024-08-23,11,43,3.91
2024-08-24,Emergency,Emergency_2024-08-24,12,48,4.0
2024-08-25,Emergency,Emergency_2024-08-25,11,44,4.0
2024-08-26,Emergency,Emergency_2024-08-26,12,46,3.83
2024-08-27,Emergency,Emergency_2024-08-27,11,45,4.09
2024-08-28,Emergency,Emergency_2024-08-28,12,47,3.92
2024-08-29,Emergency,Emergency_2024-08-29,14,55,3.93
2024-08-30,Emergency,Emergency_2024-08-30,13,52,4.0
2024-08-31,Emergency,Emergency_2024-08-31,12,46,3.83
2024-09-01,Emergency,Emergency_2024-09-01,12,47,3.92
2024-09-02,Emergency,Emergency_2024-09-02,11,43,3.91
2024-09-03,Emergency,Emergency_2024-09-03,12,47,3.92
2024-09-04,Emergency,Emergency_2024-09-04,11,44,4.0
2024-09-05,Emergency,Emergency_2024-09-05,11,45,4.09
2024-09-06,Emergency,Emergency_2024-09-06,12,50,4.17
2024-09-07,Emergency,Emergency_2024-09-07,12,48,4.0
2024-09-08,Emergency,Emergency_2024-09-08,12,47,3.92
2024-09-09,Emergency,Emergency_2024-09-09,11,45,4.09
2024-09-10,Emergency,Emergency_2024-09-10,12,48,4.0
2024-09-11,Emergency,Emergency_2024-09-11,12,46,3.83
2024-09-12,Emergency,Emergency_2024-09-12,13,51,3.92
2024-09-13,Emergency,Emergency_2024-09-13,12,50,4.17
2024-09-14,Emergency,Emergency_2024-09-14,14,56,4.0
2024-09-15,Emergency,Emergency_2024-09-15,10,40,4.0
2024-09-16,Emergency,Emergency_2024-09-16,11,43,3.91
2024-09-17,Emergency,Emergency_2024-09-17,11,44,4.0
2024-09-18,Emergency,Emergency_2024-09-18,12,47,3.92
2024-09-19,Emergency,Emergency_2024-09-19,12,47,3.92
2024-09-20,Emergency,Emergency_2024-09-20,12,47,3.92
2024-09-21,Emergency,Emergency_2024-09-21,11,43,3.91
2024-09-22,Emergency,Emergency_2024-09-22,12,47,3.92
2024-09-23,Emergency,Emergency_2024-09-23,12,50,4.17
2024-09-24,Emergency,Emergency_2024-09-24,12,48,4.0
2024-09-25,Emergency,Emergency_2024-09-25,12,46,3.83
2024-09-26,Emergency,Emergency_2024-09-26,12,46,3.83
2024-09-27,Emergency,Emergency_2024-09-27,12,50,4.17
2024-09-28,Emergency,Emergency_2024-09-28,12,46,3.83
2024-09-29,Emergency,Emergency_2024-09-29,11,45,4.09
2024-09-30,Emergency,Emergency_2024-09-30,12,46,3.83
2024-10-01,Emergency,Emergency_2024-10-01,12,49,4.08
2024-10-02,Emergency,Emergency_2024-10-02,12,46,3.83
2024-10-03,Emergency,Emergency_2024-10-03,12,48,4.0
2024-10-04,Emergency,Emergency_2024-10-04,11,43,3.91
2024-10-05,Emergency,Emergency_2024-10-05,12,50,4.17
2024-10-06,Emergency,Emergency_2024-10-06,12,46,3.83
2024-10-07,Emergency,Emergency_2024-10-07,12,50,4.17
2024-10-08,Emergency,Emergency_2024-10-08,13,52,4.0
2024-10-09,Emergency,Emergency_2024-10-09,12,49,4.08
2024-10-10,Emergency,Emergency_2024-10-10,12,48,4.0
2024-10-11,Emergency,Emergency_2024-10-11,12,49,4.08
2024-10-12,Emergency,Emergency_2024-10-12,13,53,4.08
2024-10-13,Emergency,Emergency_2024-10-13,12,50,4.17
2024-10-14,Emergency,Emergency_2024-10-14,11,43,3.91
2024-10-15,Emergency,Emergency_2024-10-15,13,52,4.0
2024-10-16,Emergency,Emergency_2024-10-16,13,51,3.92
2024-10-17,Emergency,Emergency_2024-10-17,12,48,4.0
2024-10-18,Emergency,Emergency_2024-10-18,12,47,3.92
2024-10-19,Emergency,Emergency_2024-10-19,11,44,4.0
2024-10-20,Emergency,Emergency_2024-10-20,12,46,3.83
2024-10-21,Emergency,Emergency_2024-10-21,11,44,4.0
2024-10-22,Emergency,Emergency_2024-10-22,12,50,4.17
2024-10-23,Emergency,Emergency_2024-10-23,11,44,4.0
2024-10-24,Emergency,Emergency_2024-10-24,13,52,4.0
2024-10-25,Emergency,Emergency_2024-10-25,12,50,4.17
2024-10-26,Emergency,Emergency_2024-10-26,12,48,4.0
2024-10-27,Emergency,Emergency_2024-10-27,12,47,3.92
2024-10-28,Emergency,Emergency_2024-10-28,11,45,4.09
2024-10-29,Emergency,Emergency_2024-10-29,12,46,3.83
2024-10-30,Emergency,Emergency_2024-10-30,12,50,4.17
2024-10-31,Emergency,Emergency_2024-10-31,12,47,3.92
2024-11-01,Emergency,Emergency_2024-11-01,11,45,4.09
2024-11-02,Emergency,Emergency_2024-11-02,12,47,3.92
2024-11-03,Emergency,Emergency_2024-11-03,11,45,4.09
2024-11-04,Emergency,Emergency_2024-11-04,12,47,3.92
2024-11-05,Emergency,Emergency_2024-11-05,14,55,3.93
2024-11-06,Emergency,Emergency_2024-11-06,12,49,4.08
2024-11-07,Emergency,Emergency_2024-11-07,12,50,4.17
